H2_MODEL_MINING_CLOSED,bootstrap_ci_high,bootstrap_ci_low,cost_bps_per_active_leg,dates,decision_eligible,evidence_lane,horizon,mean_cross_sectional_spearman,mean_negative_leg_return,mean_net_long_short_spread,mean_positive_leg_return,median_net_long_short_spread,negative_leg_coverage,paper_positions,portfolio,positive_leg_coverage,real_orders
True,-0.0056663800855728825,-0.007620491364654155,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.00036160887609532505,-0.006621092226198128,0.0002809641542001231,-0.005733795080449404,0.9406196213425129,0,top2_bottom2,0.3674698795180723,0
True,0.001122196966631777,-0.0007235789624480241,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,0.0002210243884041063,0.00036958446841206863,0.0,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,0.00038228859203808256,-0.0014160425852953933,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,-0.00048193028744213627,0.00036958446841206863,-5.6725483575377315e-06,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.0002113087338138107,-0.0020376597842249574,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,-0.0011848849632883785,0.00036958446841206863,-0.0006967831924954413,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.0010122862742417346,-0.0028184086794250554,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,-0.0018878396391346203,0.00036958446841206863,-0.0013346760950938821,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.002405196555797167,-0.004257801010382827,25,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,-0.0032937489908271044,0.00036958446841206863,-0.002945766007913471,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,-0.005976293766657243,-0.0077248277778844705,50,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_3d_close,0.003688222276862552,-0.0001485600800079623,-0.006808522370058316,0.00036958446841206863,-0.006888679606593222,0.9675846242111302,0,top_half_bottom_half,0.438324727481354,0
True,0.0011315382385935135,-0.0017365221130044076,0,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.000322834104187859,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,0.0005693001751810261,-0.0023857905169047447,5,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.000835312589557911,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,3.633371672360909e-05,-0.0027996209626451737,10,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.001347791074927963,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
True,-0.00044067361540564353,-0.003340913522560914,15,3486,False,H2_HISTORICAL_RECONSTRUCTED_DAILY,next_open_to_5d_close,0.005309005915001555,-0.0012045712252087722,-0.0018602695602980147,0.0008817371210209133,0.0,0.8370625358577166,0,top1_bottom1,0.1878944348823867,0
